날짜,요일,공휴일,날씨,유료합계,어른,청소년,어린이,외국인,단체,무료합계,총계
2016-04-15,금,0,맑음,"9,746","4,904","2,614","2,028",115,"6,692","4,482","14,228"
2016-04-16,토,1,구름 많음,"10,410","8,454",268,"1,331",162,549,"3,744","14,154"
2016-04-17,일,1,구름 많음,"11,445","9,618",278,"1,335",160,90,"2,760","14,205"
2016-04-18,월,0,구름 조금,"3,322","2,591",17,387,64,660,"2,540","5,862"
2016-04-19,화,0,구름 조금,"8,972","2,721","5,064","1,087",26,"6,926","3,079","12,051"
2016-04-20,수,0,,"2,562","1,890",10,567,76,"1,854","3,931","6,493"
2016-04-21,목,0,,"2,245",966,57,"1,155",19,"1,482","1,244","3,489"
2016-04-22,금,0,,"4,562","2,971",208,"1,158",23,"4,091","5,232","9,794"
2016-04-23,토,1,,"10,921","8,874",155,"1,383",220,996,"3,440","14,361"
2016-04-24,일,1,,"15,883","13,281",217,"2,019",516,748,"3,759","19,642"
2016-04-25,월,0,맑음,"16,616","2,564","10,248","3,649",75,"15,073","3,363","19,979"
2016-04-26,화,0,,"6,999","2,805","2,217","1,849",61,"5,832","4,100","11,099"
2016-04-27,수,0,구름 많음,"5,318","3,451",261,"1,233",56,"4,548","4,017","9,335"
2016-04-28,목,0,,"4,498","2,821",421,"1,119",67,"5,376","6,653","11,151"
2016-04-29,금,0,,"10,245","4,320","3,724","1,321",53,"7,273","4,839","15,084"
2016-04-30,토,1,,"16,831","13,675",431,"2,050",343,"1,585","4,905","21,736"
2016-05-01,일,1,구름 조금,"25,630","21,986",570,"3,074",399,367,"5,660","31,290"
2016-05-02,월,0,구름 많음,"6,307","2,712",57,"3,538",50,"3,626","1,449","7,756"
2016-05-03,화,0,,400,76,321,3,2,315,354,754
2016-05-04,수,0,,"7,703","2,649","4,659",395,139,"5,942","3,312","11,015"
2016-05-05,목,1,,"40,219","38,511","1,708",0,476,35,"18,469","58,688"
2016-05-06,금,1,비,"6,211","4,764",416,"1,031",61,0,"1,951","8,162"
2016-05-07,토,1,,"20,749","16,823","1,083","2,843",303,221,"5,863","26,612"
2016-05-08,일,1,구름 조금,"15,538","13,315",571,"1,652",409,97,"4,181","19,719"
2016-05-09,월,0,구름 많음,"4,644","2,403","1,823",418,24,"2,296","2,239","6,883"
2016-05-10,화,0,,"1,456",330,781,345,3,"1,365",802,"2,258"
2016-05-11,수,0,,"3,842","2,654",813,375,61,"2,647","3,970","7,812"
2016-05-12,목,0,,"11,455","5,174","3,651","2,630",91,"11,190","5,560","17,015"
2016-05-13,금,0,,"11,619","3,870","6,565","1,184",87,"10,016","5,917","17,536"
2016-05-14,토,1,구름 조금,"27,074","23,106",743,"3,225",262,415,"6,805","33,879"
2016-05-15,일,1,구름 많음,"10,528","8,826",364,"1,338",212,231,"3,957","14,485"
2016-05-16,월,0,,"2,821","2,451",30,340,72,"1,026","2,601","5,422"
2016-05-17,화,0,맑음,"4,086","3,392",23,671,120,"2,199","4,337","8,423"
2016-05-18,수,0,,"3,373","2,629",119,625,68,"2,343","4,194","7,567"
2016-05-19,목,0,맑음,"5,075","2,497","2,063",515,30,"5,026","4,992","10,067"
2016-05-20,금,0,맑음,"17,709","2,909","13,147","1,653",103,"17,416","6,267","23,976"
2016-05-21,토,1,,"18,569","15,551",513,"2,505",312,"5,595","5,556","24,125"
2016-05-22,일,1,,"14,802","12,990",436,"1,376",390,308,"4,381","19,183"
2016-05-23,월,0,,"3,040","2,764",193,83,36,824,"2,767","5,807"
2016-05-24,화,0,,"3,466",744,"2,631",91,63,"2,984","1,377","4,843"
2016-05-25,수,0,구름 많음,"3,711","3,069",210,432,92,"2,491","4,801","8,512"
2016-05-26,목,0,구름 많음,"5,834","2,620","3,099",115,69,"5,220","5,175","11,009"
2016-05-27,금,0,,"8,394","4,919","3,098",377,145,"5,554","4,980","13,374"
2016-05-28,토,1,,"21,874","19,064",646,"2,164",388,"1,819","8,131","30,005"
2016-05-29,일,1,흐림,"23,785","20,954",776,"2,055",918,465,"6,756","30,541"
2016-05-30,월,0,,"4,065","3,846",41,178,228,389,"2,567","6,632"
