Country ID,Country,"Time Series - CO₂ total emissions  without LULUCF, in 1000 t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CO2 emissions, latest year",% change since 1990,"CO2 emissions 
per capita, 
latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,kg
231,Ethiopia,"2,307.00","1,879.00","2,073.00","2,401.00","2,359.14","2,238.27","2,457.35","2,895.98","2,995.43","3,164.82","3,437.90","4,250.98","4,464.75","5,027.51","5,289.29","6,589.51","6,352.01","9,066.91","8,339.15","9,004.12","11,134.35","9,522.03","9,655.41","10,143.08",...,...,...,...,...,2013,10143.08,339.67,0.11
242,Fiji,...,...,...,...,821.00,...,...,...,...,...,...,...,...,...,"1,566.57",...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,1566.57,...,1.92
246,Finland,"56,971.87","55,230.40","54,285.53","56,352.55","61,716.20","58,145.44","64,062.41","62,722.99","59,373.26","58,894.77","57,038.25","62,536.21","65,059.79","72,657.82","68,960.75","57,042.90","68,384.42","66,760.30","58,609.62","55,924.37","64,099.45","56,665.65","51,222.15","51,750.96","47,643.86","44,113.71","47,227.55","44,673.06","45,849.35",2018,45849.35,-19.52,8.30
250,France,"4,03,307.24","4,28,927.11","4,18,231.02","3,97,655.36","3,93,368.86","4,00,239.12","4,15,941.02","4,08,989.96","4,28,344.36","4,24,600.51","4,19,232.28","4,24,005.85","4,19,347.50","4,26,145.70","4,27,117.58","4,30,528.28","4,19,737.02","4,09,033.41","4,01,422.87","3,85,421.58","3,93,717.82","3,67,051.08","3,68,311.77","3,70,548.99","3,39,492.92","3,44,096.98","3,47,095.62","3,52,178.98","3,38,327.10",2018,338327.10,-16.11,5.21
266,Gabon,...,...,...,...,"4,407.74",...,...,...,...,...,"5,157.27",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,5157.27,...,4.20
270,Gambia,...,...,...,181.06,...,...,...,...,...,...,218.77,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,218.77,...,0.17
268,Georgia,"35,520.00","28,131.80","17,119.40","9,775.30","6,525.80","4,560.40","7,491.10","8,480.00",...,...,"3,705.20","3,875.00","3,681.00","3,931.00","4,844.00","5,045.00","6,233.00","7,160.00","7,062.00","6,562.00","6,634.73","9,151.01","9,786.39","9,478.16",...,...,...,...,...,2013,9478.16,-73.32,2.34
276,Germany,"10,52,348.54","10,14,199.72","9,65,889.81","9,56,233.11","9,39,630.28","9,39,176.70","9,59,124.13","9,31,230.07","9,23,275.91","8,95,642.93","8,99,780.20","9,16,366.14","8,99,821.05","9,00,866.41","8,86,965.97","8,66,388.55","8,77,997.39","8,51,383.30","8,54,706.33","7,90,195.72","8,32,669.74","8,09,426.95","8,13,893.12","8,31,316.28","7,92,684.87","7,95,816.36","8,00,510.29","7,86,654.55","7,55,362.34",2018,755362.34,-28.22,9.09
288,Ghana,"2,861.80","2,377.12","2,897.70","3,123.85","3,243.03","3,556.74","3,844.07","3,977.84","4,364.21","4,925.45","6,297.67","5,585.01","5,965.42","6,410.85","5,789.37","6,431.14","7,847.20",...,...,...,...,...,...,...,...,...,...,...,...,2006,7847.20,174.21,0.35
300,Greece,"83,425.55","83,401.12","84,982.71","84,296.37","86,442.18","86,979.10","89,132.01","93,820.93","98,641.50","97,958.38","1,02,999.03","1,05,385.70","1,05,020.96","1,09,089.75","1,09,546.75","1,13,930.97","1,12,472.44","1,14,592.34","1,11,125.24","1,04,354.75","97,361.50","94,549.58","91,430.10","81,735.05","78,659.80","74,957.90","71,368.36","74,852.85","71,797.87",2018,71797.87,-13.94,6.82
